author,pid
A Min Tjoa,t/AMinTjoa
A. Akbari Azirani,36/9367
A. Akbariazirani,36/9367
A. Aldo Faisal,54/5027
A. Antony Franklin,63/3408
A. B. M. Alim Al Islam,20/9660
A. B. Siddique 0001,117/5796
A. Bhaskar,318/7164
A. C. Cem Say,11/4210
A. C. W. Finkelstein,f/AFinkelstein
A. Cüneyd Tantug,42/3214
A. D. Fekete,f/AlanDavidFekete
A. David Marshall,m/ADavidMarshall
A. E. Eiben,e/AEEiben
A. Ercüment Çiçek,47/11102
A. I. Ovchinnikov,03/4169
A. J. Field,f/AJField
A. J. H. Hidders,h/JanHidders
A. J. Jansen,57/1786
A. J. Kfoury,k/AssafJKfoury
A. J. Ko 0001,157/8409
A. Jefferson Offutt,o/AJeffersonOffutt
A. John Power,p/JohnPower
A. K. McIver,m/AnnabelleMcIver
A. M. A. Hemmatyar,119/8996
A. Min Tjoa,330/1107
A. Murat Ozbayoglu,137/6822
A. Murat Özbayoglu,137/6822
A. Neil Arnason,45/5947
A. P. Sarath Chandar,45/8542
A. P. Vinod 0001,92/249
A. P. Willem Böhm,b/APWBohm
A. P. Wim Böhm,b/APWBohm
A. Pavan 0001,88/1807
A. Prasad Sistla,s/APrasadSistla
A. Prasad Vinod,92/249
A. Prasad Vinod 0001,92/249
A. Rau-Chaplin,r/ARauChaplin
A. Robert Calderbank,c/ARobertCalderbank
A. Rupam Mahmood,120/6935
A. S. M. Hoque,66/504
A. S. M. Latiful Hoque,66/504
A. S. Madhukumar,66/549
A. Selcuk Uluagac,46/1500
A. Sima Etaner-Uyar,u/ASimaEtanerUyar
A. T. Burrell,123/9628
A. T. Chamillard,05/5470
A. Taylan Cemgil,41/6613
A. Th. Schreiber,s/GuusSchreiber
A. Udaya Shankar,s/AUdayaShankar
A. V. Sreejith,89/8556
A. V. Subramanyam,262/2134
A. W. Roscoe 0001,r/AWRoscoe
A. William Roscoe,r/AWRoscoe
A. Yurdakul,56/6092
Aaditeshwar Seth,13/1287
Aamena Al Shamsi,155/8055
Aamena Alshamsi,155/8055
Aamir Cheema,55/5690
Aanjhan Ranganathan,23/11190
Aapo Hyvärinen,56/3623
Aarne Ranta,75/3622
Aaron Bernstein,02/4059
Aaron Bobick,b/AaronFBobick
Aaron C. Courville,56/1688
Aaron Clauset,97/4275
Aaron D. Striegel,42/6870
Aaron F. Bobick,b/AaronFBobick
Aaron Harwood,27/5788
Aaron Henry Potechin,65/3122
Aaron J. Elmore,75/9436
Aaron J. Quigley,q/AaronJQuigley
Aaron Leon Roth,80/3311
Aaron M. Dollar,79/3998
Aaron McFadyen,123/6737
Aaron Potechin,65/3122
Aaron Quigley,q/AaronJQuigley
Aaron Roth 0001,80/3311
Aaron Schulman,77/3626
Aaron Sidford,125/2326
Aaron Steven White,188/5734
Aaron Striegel,42/6870
Aaron Stump,46/656
Aaron Visaggio,38/2506
Aart Middeldorp,m/AMiddeldorp
Aarti Gupta,18/2229
Aarti Sathyanarayana,152/0966
Aarti Singh,64/5328
Aasa Feragen,62/8616
Aasheesh Kolli,138/4146
Aastha Mehta,161/0164
Abbas Edalat,e/AbbasEdalat
Abbas Heydarnoori,h/AbbasHeydarnoori
Abbe Mowshowitz,78/1579
Abbes Amira,a/AbbesAmira
Abdallah Saffidine,99/7599
Abdel Latif Abu Dalhoum,08/9707
AbdelRahman Abdou,157/0157
Abdelaziz Bouras,71/3037
Abdelfattah Amamra,124/8380
Abdelhakim Hafid,73/2285
Abdelhakim Senhaji Hafid,73/2285
Abdelkarim Erradi,63/3982
Abdelmounaam Rezgui,47/4717
Abdelsalam (Sumi) Helal,h/AHelal
Abdelsalam Helal,h/AHelal
Abdeslam Boularias,57/2269
Abdol-Hossein Esfahanian,e/AHEsfahanian
Abdolahad Noori Zehmakan,167/4131
Abdolreza Abhari,29/617
Abdou S. Youssef,48/46
Abdou Youssef,48/46
Abdul Mohsen Almalawi,139/3145
Abdul Serwadda,42/8733
Abdulaziz Ali,142/2548
Abdulhakim Qahtan,319/9657
Abdulla K. Al-Ali,130/9027
Abdulla Khalid Al-Ali,130/9027
Abdullah Al Redwan Newaz,142/9844
Abdullah Al-Ali,130/9027
Abdullah Algarni,142/9280
Abdullah Basuhail,173/0946
Abdullah Ercument Cicek,47/11102
Abdullah Mueen,63/7047
Abdullah Muzahid,45/7115
Abdullah Uz Tansel,10/3450
Abdullah Yasin Nur,182/9327
Abdulmohsen Almalawi,139/3145
Abdulmotaleb El-Saddik,06/1887
Abe Davis,117/4799
Abedelaziz Mohaisen,70/2832
Abhi Shelat,s/AShelat
Abhijeet Ghosh,54/2868
Abhijit Das 0004,73/1871-4
Abhijit Mahalanobis,71/872
Abhijit S. Pandya,15/3326
Abhik Roychoudhury,04/5884
Abhilash Jindal,44/10603
Abhinav Bhatele,82/6441
Abhinav Dhall,05/7591
Abhinav Gupta 0001,36/7024-1
Abhinav Kumar Singh,156/2124
Abhinav Shrivastava,65/10572
Abhir Bhalerao,56/1625
Abhir H. Bhalerao,56/1625
Abhiram G. Ranade,r/AbhiramGRanade
Abhiram Ranade,r/AbhiramGRanade
Abhishek Bhattacharjee,78/4478
Abhishek Bichhawat,61/10308
Abhishek Chandra,97/3628
Abhishek Dubey,67/525
Abhishek Gupta,18/6404
Abhishek Jain 0002,34/3
Abhishek Kr Singh,88/10542
Abhishek Mishra,74/9975
Abhishek Sarkar,81/671
Abhishek Srivastava,38/1922
Abhradeep Guha Thakurta,31/8315
Abhradeep Thakurta,31/8315
Abilio Lucena,07/4254
Abir Das,141/1311
Abir De,118/7174
Abolfazl Asudeh,04/7892
Abolfazl Razi,83/8819
Abolfazl S. Motahari,35/1085
Abolfazl Seyed Motahari,35/1085
Abraham Bernstein,b/AbrahamBernstein
Abraham Duarte,85/3743
Abraham G. Campbell,55/3873
Abraham Silberschatz,s/AbrahamSilberschatz
Abram Hindle,76/2009
Abtin Rahimian,76/9134
Abu Asaduzzaman,87/1633
Abu Sayed Md. Latiful Hoque,66/504
Abul Kashem,
Abusayeed M. Saifullah,56/8452
Abusayeed Saifullah,56/8452
Abutalib Aghayev,159/2251
Abyayananda Maiti,48/9828
Achi Brandt,09/1013
Achille Pattavina,36/6659
Achim Blumensath,05/6271
Achim D. Brucker,b/AchimDBrucker
Achim Ebert,49/6091
Achim Jung,55/5532
Achim Schweikard,s/AchimSchweikard
Achim Streit,s/AchimStreit
Achutavarrier Prasad Vinod,92/249
Ada Gavrilovska,76/3229
Ada Wai-Chee Fu,f/AdaWaiCheeFu
Adalbert Gerald Soosai Raj,160/4548
Adalberto L. Simeone,02/4044
Adalberto Lafcadio Simeone,02/4044
Adam A. Porter,p/AdamAPorter
Adam Bargteil,43/5121
Adam Bates 0001,126/3601
Adam Belay,14/8279
Adam Chlipala,52/796
Adam Czajka,39/2720
Adam D. Smith,04/5072
Adam Doupé,28/8280
Adam Finkelstein,f/AdamFinkelstein
Adam Hahn,44/10653
Adam Herout,25/469
Adam J. Aviv,94/1554
Adam J. Lee,62/1373
Adam Jatowt,j/AdamJatowt
Adam Krzyzak,k/AdamKrzyzak
Adam Lopez,65/5274
Adam M. Bates,126/3601
Adam M. Smith 0001,88/2052
Adam Marshall Smith,88/2052
Adam Morrison 0001,40/944
Adam O'Neill,55/3477
Adam P. Chester,12/378
Adam Przepiórkowski,34/6295
Adam Prügel-Bennett,p/AdamPrugelBennett
Adam R. Klivans,k/AdamRKlivans
Adam Richard Klivans,k/AdamRKlivans
Adam Rogalewicz,87/2946
Adam Steele,41/931
Adam W. Bargteil,43/5121
Adam Wade Bargteil,43/5121
Adam Wierman,56/4447
Adam Wolisz,w/AdamWolisz
Adams Wai-Kin Kong,16/3792
Adarsh S. Sethi,s/AdarshpalSSethi
Adarshpal S. Sethi,s/AdarshpalSSethi
Adel Cherif,42/6840
Adel Elmaghraby,e/AdelSaidElmaghraby
Adel Rahmani,22/1946
Adel Said Elmaghraby,e/AdelSaidElmaghraby
Adel Torkaman Rahmani,22/1946
Adele A. Rescigno,r/AdeleARescigno
Adele Anna Rescigno,r/AdeleARescigno
Adelinde M. Uhrmacher,u/AdelindeUhrmacher
Adenilso Simão,24/261
Adenilso da Silva Simão,24/261
Adi Akavia,09/2245
Adi Shamir,s/AdiShamir
Adilson Elias Xavier,72/8017
Adish Singla [SWS],
Aditi Majumder,30/445
Aditya Akella,a/AdityaAkella
Aditya Bhaskara,47/7801
Aditya Challa,189/3492
Aditya G. Parameswaran,40/7459
Aditya Gilra,195/6147
Aditya Grover,162/5052
Aditya Kanade,61/2636
Aditya Mathur,m/AdityaPMathur
Aditya Nigam,60/7950
Aditya P. Mathur,m/AdityaPMathur
Aditya Tatu,19/3349
Aditya Thakur,
Aditya Thakur 0001,68/1945
Aditya V. Thakur,68/1945
Adji B. Dieng,188/6478
Adji Bousso Dieng,188/6478
Adlen Ksentini,37/6589
Adnan Darwiche,p/ADarwiche
Adnan Ozsoy,46/2115
Adnan Siraj Rakin,215/3683
Adnan Yazici,14/4370
Adolfo Muñoz,53/3754
Adolfo Piperno,84/356
Adrian Dumitrescu,69/5787
Adrian F. Clark,68/1143
Adrian Fiech,21/1195
Adrian Francalanza,91/2771
Adrian Friday,10/6055
Adrian G. Bors,94/1481
Adrian Hilton,63/34
Adrian Ivor Clive Johnstone,18/6775
Adrian Johnstone,18/6775
Adrian P. Lauf,15/4728
Adrian Paschke,24/2942
Adrian Perrig,16/6873
Adrian R. Pearce,53/1321
Adrian R. Vetta,v/AdrianVetta
Adrian S. Poulton,47/10126
Adrian Sampson,25/4161
Adrian Sandu,89/2975
Adrian Segall,13/3683
Adrian Vetta,v/AdrianVetta
Adriana B. Compagnoni,c/AdrianaBCompagnoni
Adriana Emitzá Guzmán Ortega,77/10481
Adriana Ferraro,14/2527
Adriana Iamnitchi,33/5916
Adriana Kovashka,51/8652
Adriana Schulz,69/8106
Adriane Chapman,54/4551
Adriane P. Chapman,54/4551
Adriano Alonso Veloso,12/919
Adriano C. M. Pereira,73/6430
Adriano César Machado Pereira,73/6430
Adriano Fazzone,163/0451
Adriano Velasque Werhli,96/4639
Adriano Veloso,12/919
Adrien Basso-Blandin,116/2741
Adrien Poteaux,19/1595
Adrienne Decker,84/3724
Adrián Carballal,87/9528
Adrián Jarabo,118/2761
Aduri Pavan,88/1807
Adwait Jog,64/11467
Adwait Nadkarni,136/8334
Afra Alishahi,69/8699
Afzel Noore,41/6759
Agata Ciabattoni,44/6796
Agathoniki Trigoni,t/NikiTrigoni
Aggeliki Arapoyanni,a/AngelaArapoyanni
Aggelos K. Katsaggelos,k/AggelosKAggelos
Aggelos Kiayias,47/3682
Aggelos Pikrakis,07/1737
Agma J. M. Traina,t/AgmaJMTraina
Agma Juci Machado Traina,t/AgmaJMTraina
Agnar Aamodt,a/AgnarAamodt
Agnes Koschmider,k/AgnesKoschmider
Agneta Nilsson,18/4800
Agnieszka Mykowiecka 0001,60/3283-1
Agnès Voisard,v/AVoisard
Agustin Fernández,
Agustín Gravano,89/6770
Ah-Hwee Tan,38/3641
Ahad N. Zehmakan,167/4131
Aharon Bar-Hillel,72/1301
Ahmad Akbari,36/9367
Ahmad Akbari Azirani,36/9367
Ahmad Alzahrani,128/1123
Ahmad Biniaz,41/8409
Ahmad Elkhateb,255/3783
Ahmad Hemmati,53/9410
Ahmad Jbara,63/5514
Ahmad R. Dhaini,45/3525
Ahmad Sharieh,38/3301
Ahmad-Reza Sadeghi,s/AhmadRezaSadeghi
Ahmed Abdelali,48/5636
Ahmed Abu-Hajar,30/11457
Ahmed Aleroud,85/9730
Ahmed Ali,22/1217
Ahmed Ali-Eldin,24/8772
Ahmed Awad,10/6854
Ahmed Desoky,22/5589
Ahmed E. Hassan,h/AhmedEHassan
Ahmed El-Roby,135/4659
Ahmed Eldawy,66/9726
Ahmed Elgammal,e/AhmedMElgammal
Ahmed Helmy,h/AhmedHelmy
Ahmed Hussain Qureshi,222/2796
Ahmed K. Elmagarmid,e/AKElmagarmid
Ahmed Karmouch,34/4894
Ahmed M. Elgammal,e/AhmedMElgammal
Ahmed Rafea,33/2241
Ahmed Sabbir Arif,77/2371
Ahmed Saeed 0001,23/100
Ahmed Sameh,s/AhmedSameh
Ahmed Sameh Mohamed,s/AhmedSameh
Ahmed Sameh Mohammed,s/AhmedSameh
Ahmet Burak Can,55/8615
Ahmet Celal Cem Say,11/4210
Ahmet Cüneyd Tantug,42/3214
Ahmet Erdem Sariyüce,74/10954
Ahmet Murat Özbayoglu,137/6822
Ahmet Oguz Akyüz,64/3812
Ahmet Teoman Naskali,65/7403
Ahti Peder,86/8994
Ai-Chun Pang,73/2927
Aibek Musaev,155/5041
Aibek Musave,155/5041
Aidan Hogan,h/AidanHogan
Aidong Lu,33/5455
Aidong Zhang,z/AidongZhang
Aiiad Ahmad Albeshri,44/8558
Aiiad Albeshri,44/8558
Aiichiro Nakano,74/1140
Aijun An,99/3459
Aikaterini Bourazeri,128/5372
Aikaterini Mitrokotsa,22/417
Ailamaki Natassa,a/AnastassiaAilamaki
Aiman Erbad,41/1019
Aiman Hanna,h/AimanHanna
Aimin Hao,94/5679
Aishwarya Agrawal,163/2109
Aisling Ann O'Kane,21/9599
Aisling Kelliher,28/184
Aiswarya Cyriac,90/6616
Aivar Annamaa,99/8736
Aixia Jia,43/7062
Aixin Sun,78/5155
Ajai Jain,59/4016
Ajay D. Kshemkalyani,96/6394
Ajay Gupta 0001,g/AjayKGupta
Ajay K. Gupta 0001,g/AjayKGupta
